id_aluno,nome,curso,periodo,cr,faltas,situacao_financeira,reprovacoes,idade,evadiu
29,Carla Machado,Engenharia Civil,6.0,6.4,7.0,dificuldade,0.0,19.0,0
30,Ana Pinto,Engenharia Civil,3.0,7.5,6.0,intermediaria,0.0,24.0,0
31,Queila Andrade,Engenharia Civil,1.0,7.4,10.0,estavel,1.0,25.0,0
32,Karla Ramos,Medicina,3.0,7.6,4.0,estavel,2.0,23.0,0
33,Gabriela Fonseca,Ciência da Computação,7.0,6.8,2.0,estavel,0.0,24.0,0
34,Lucas Teixeira,Engenharia Civil,2.0,3.7,19.0,intermediaria,,21.0,1
35,Rafael Freitas,Administração,7.0,9.6,3.0,intermediaria,1.0,22.0,0
36,Joana Siqueira,Engenharia Civil,1.0,2.6,11.0,intermediaria,1.0,24.0,1
37,Caio Dias,Engenharia Civil,6.0,3.4,38.0,intermediaria,0.0,17.0,1
38,Isabela Cardoso,Ciência da Computação,6.0,5.4,2.0,intermediaria,0.0,19.0,0
39,Juliana Braga,Direito,8.0,,3.0,intermediaria,1.0,,0
40,Adriana Martins,Direito,6.0,5.4,4.0,dificuldade,0.0,20.0,0
41,Giovanna Braga,Administração,6.0,6.9,0.0,intermediaria,0.0,27.0,0
42,Patricia Carvalho,Administração,6.0,7.3,9.0,dificuldade,1.0,24.0,0
43,Priscila Medeiros,Ciência da Computação,7.0,6.9,4.0,intermediaria,0.0,19.0,0
44,Joana Oliveira,Direito,6.0,6.9,13.0,estavel,2.0,19.0,0
45,Samuel Neto,Ciência da Computação,4.0,6.6,7.0,intermediaria,1.0,22.0,0
46,Ana Pereira,Medicina,6.0,8.1,4.0,estavel,0.0,26.0,0
47,Wanessa Braga,Direito,3.0,4.1,13.0,dificuldade,2.0,26.0,1
48,Fernanda Mendes,Medicina,4.0,6.7,37.0,intermediaria,3.0,17.0,1
49,Paulo Santos,Direito,2.0,4.1,8.0,dificuldade,2.0,21.0,1
50,Danilo Alves,Administração,3.0,5.5,11.0,intermediaria,0.0,22.0,0
51,Fernanda Azevedo,Ciência da Computação,1.0,7.1,2.0,dificuldade,2.0,19.0,0
52,Yasmin Oliveira,Direito,1.0,4.5,5.0,intermediaria,1.0,25.0,1
53,Ulisses Freitas,Direito,1.0,7.1,2.0,estavel,2.0,24.0,0
54,Ana Carvalho,Medicina,4.0,3.7,24.0,dificuldade,1.0,22.0,1
55,Vanessa Leal,Medicina,5.0,6.4,2.0,intermediaria,2.0,22.0,0
56,Flávia Santos,Direito,4.0,8.1,2.0,estavel,1.0,25.0,0
57,Carla Oliveira,Administração,1.0,5.3,3.0,estavel,1.0,26.0,0
58,Rodrigo Mendes,Engenharia Civil,7.0,8.5,4.0,intermediaria,0.0,25.0,0
59,Sônia Braga,Administração,6.0,6.6,1.0,estavel,0.0,,0
60,Ximena Brito,Medicina,8.0,3.9,29.0,dificuldade,3.0,25.0,1
61,Eduardo Magalhães,Administração,4.0,6.6,,estavel,0.0,20.0,0
62,Giovanna Ferreira,Medicina,5.0,3.1,40.0,dificuldade,5.0,22.0,1
63,Beatriz Magalhães,Administração,8.0,5.3,6.0,estavel,0.0,28.0,0
64,Victor Alves,Administração,2.0,5.8,3.0,estavel,1.0,22.0,0
65,Juliana Gomes,Medicina,3.0,4.3,32.0,dificuldade,4.0,20.0,1
66,Marina Pereira,Administração,7.0,5.8,9.0,intermediaria,0.0,24.0,0
67,Wagner Cardoso,Medicina,1.0,7.7,0.0,intermediaria,1.0,26.0,0
68,Victor Amaral,Medicina,3.0,7.0,10.0,estavel,0.0,20.0,0
69,Bruno Medeiros,Ciência da Computação,3.0,7.5,4.0,intermediaria,0.0,28.0,0
70,Débora Moreira,Direito,6.0,3.8,35.0,dificuldade,5.0,24.0,1
71,Roberto Leite,Ciência da Computação,6.0,5.2,13.0,estavel,0.0,24.0,0
72,Diego Barbosa,Administração,5.0,8.0,6.0,estavel,0.0,17.0,0
73,Renata Gonçalves,Engenharia Civil,5.0,4.9,30.0,dificuldade,2.0,21.0,1
74,Ana Campos,Medicina,3.0,4.7,2.0,estavel,0.0,20.0,0
75,Kevin Carvalho,Medicina,3.0,6.9,9.0,intermediaria,2.0,22.0,0
76,Helena Leal,Administração,5.0,6.7,0.0,estavel,3.0,22.0,0
77,Elena Melo,Engenharia Civil,8.0,7.1,1.0,estavel,0.0,20.0,0
78,Lucas Xavier,Medicina,6.0,7.4,2.0,estavel,0.0,20.0,0
79,Juliana Medeiros,Medicina,6.0,5.4,,intermediaria,0.0,21.0,0
80,Rafael Ferreira,Administração,6.0,3.3,36.0,dificuldade,3.0,21.0,1
81,Renata Pinto,Administração,4.0,3.0,21.0,intermediaria,2.0,17.0,1
82,Otávio Rodrigues,Administração,5.0,3.5,5.0,estavel,2.0,29.0,0
83,Thiago Duarte,Direito,2.0,4.0,34.0,estavel,3.0,24.0,1
84,Beatriz Melo,Medicina,3.0,3.4,33.0,intermediaria,0.0,26.0,1
85,Lucas Freitas,Engenharia Civil,8.0,5.6,24.0,intermediaria,0.0,36.0,1
86,Tatiana Magalhães,Administração,1.0,6.5,9.0,intermediaria,0.0,26.0,0
87,Gustavo Ferreira,Administração,5.0,5.4,6.0,estavel,0.0,26.0,0
88,Hugo Lima,Administração,1.0,3.5,10.0,dificuldade,4.0,18.0,1
89,Renata Rezende,Direito,3.0,6.2,1.0,intermediaria,1.0,27.0,0
90,Iara Assis,Administração,3.0,6.3,2.0,intermediaria,1.0,26.0,0
91,Wanessa Cunha,Medicina,6.0,8.2,4.0,dificuldade,1.0,23.0,0
92,Roberto Cunha,Administração,6.0,5.1,1.0,intermediaria,1.0,30.0,0
93,Luana Moura,Ciência da Computação,8.0,6.8,7.0,estavel,0.0,21.0,0
94,Victor Pinto,Medicina,6.0,7.6,2.0,estavel,0.0,23.0,0
95,Isabela Leal,Direito,8.0,6.8,2.0,intermediaria,2.0,19.0,0
96,Rodrigo Fonseca,Engenharia Civil,3.0,6.8,,estavel,0.0,29.0,0
97,Valentina Oliveira,Medicina,5.0,5.5,2.0,estavel,1.0,22.0,0
98,Nicolas Pereira,Direito,6.0,5.1,,estavel,2.0,28.0,0
99,Gustavo Matos,Medicina,3.0,6.3,22.0,intermediaria,0.0,23.0,1
100,Ana Medeiros,Direito,5.0,5.3,11.0,intermediaria,2.0,22.0,1
101,Talita Monteiro,Ciência da Computação,8.0,3.3,20.0,estavel,0.0,26.0,1
102,Priscila Moura,Ciência da Computação,5.0,6.0,5.0,intermediaria,0.0,21.0,0
103,Wesley Alves,Medicina,5.0,7.1,0.0,intermediaria,0.0,17.0,0
104,Hana Batista,Direito,7.0,4.3,15.0,dificuldade,0.0,21.0,1
105,Guilherme Andrade,Medicina,3.0,7.1,0.0,estavel,1.0,25.0,0
106,Ximena Dias,Administração,5.0,7.1,2.0,intermediaria,1.0,31.0,0
107,Danilo Cunha,Medicina,5.0,6.0,1.0,estavel,0.0,23.0,0
108,Luana Monteiro,Medicina,8.0,6.5,8.0,dificuldade,0.0,31.0,0
109,Olivia Barbosa,Administração,7.0,4.0,8.0,intermediaria,2.0,19.0,1
110,Marcelo Campos,Engenharia Civil,5.0,6.5,5.0,intermediaria,1.0,24.0,0
111,Alexandre Lopes,Engenharia Civil,4.0,5.1,0.0,intermediaria,0.0,21.0,0
112,Isabela Melo,Administração,2.0,4.0,,intermediaria,0.0,31.0,1
113,Adriana Siqueira,Administração,1.0,5.6,11.0,intermediaria,0.0,23.0,1
114,Marina Fonseca,Ciência da Computação,4.0,7.7,7.0,estavel,0.0,20.0,0
115,Larissa Guimarães,Administração,2.0,6.2,2.0,estavel,1.0,25.0,0
116,Rafael Leite,Medicina,,,29.0,estavel,4.0,19.0,1
117,Flávia Nunes,Medicina,2.0,8.0,10.0,intermediaria,4.0,19.0,0
118,Débora Xavier,Medicina,6.0,6.1,4.0,intermediaria,1.0,25.0,0
119,Elena Santos,Direito,,3.1,11.0,intermediaria,3.0,22.0,1
120,Thiago Andrade,Engenharia Civil,,2.8,9.0,intermediaria,1.0,24.0,1
121,Flávia Ramos,Ciência da Computação,7.0,5.6,2.0,intermediaria,0.0,25.0,0
122,Wanessa Cavalcanti,Ciência da Computação,1.0,5.6,6.0,intermediaria,2.0,19.0,0
123,Fernanda Duarte,Engenharia Civil,4.0,6.1,6.0,dificuldade,4.0,29.0,1
124,Carla Fonseca,Direito,4.0,8.6,11.0,estavel,0.0,21.0,0
125,Alexandre Borges,Direito,4.0,4.2,30.0,intermediaria,2.0,18.0,1
126,Hana Andrade,Engenharia Civil,6.0,3.0,12.0,intermediaria,3.0,23.0,1
127,Tatiana Lima,Engenharia Civil,5.0,5.0,12.0,intermediaria,3.0,22.0,1
128,Luana Santos,Administração,4.0,5.9,2.0,intermediaria,2.0,34.0,0
129,Felipe Barros,Administração,5.0,8.3,3.0,estavel,1.0,29.0,0
130,José Araújo,Direito,8.0,,0.0,intermediaria,,25.0,0
131,Otávio Lemos,Engenharia Civil,1.0,4.2,19.0,dificuldade,3.0,19.0,1
132,Victor Viana,Direito,2.0,4.7,4.0,intermediaria,0.0,22.0,1
133,Hana Duarte,Medicina,6.0,5.0,27.0,dificuldade,0.0,19.0,1
134,Ulisses Medeiros,Ciência da Computação,8.0,7.3,4.0,estavel,,30.0,0
135,Isabela Nascimento,Medicina,3.0,6.7,0.0,intermediaria,2.0,20.0,0
136,Talita Souza,Administração,4.0,3.7,,intermediaria,2.0,23.0,1
137,Isabella Rocha,Ciência da Computação,4.0,6.6,1.0,estavel,1.0,19.0,0
138,Diego Andrade,Administração,3.0,6.8,6.0,estavel,1.0,22.0,0
139,Ursula Amaral,Engenharia Civil,1.0,6.7,7.0,intermediaria,1.0,23.0,0
140,Carlos Pires,Administração,5.0,7.0,9.0,estavel,2.0,20.0,0
141,Larissa Torres,Ciência da Computação,6.0,4.5,12.0,dificuldade,,24.0,1
142,Iara Costa,Administração,3.0,4.3,25.0,dificuldade,1.0,23.0,1
143,Isabella Souza,Engenharia Civil,4.0,6.0,2.0,estavel,2.0,21.0,0
144,Talita Vargas,Direito,5.0,7.9,1.0,intermediaria,1.0,,0
145,Luana Pereira,Ciência da Computação,2.0,6.3,2.0,intermediaria,0.0,21.0,0
146,Marina Costa,Ciência da Computação,7.0,4.3,1.0,dificuldade,3.0,22.0,0
147,Isabella Queiroz,Engenharia Civil,8.0,5.5,3.0,intermediaria,0.0,24.0,0
148,Rodrigo Almeida,Direito,7.0,6.5,5.0,estavel,1.0,18.0,0
149,Diego Cunha,Direito,6.0,6.5,1.0,intermediaria,1.0,,0
150,Larissa Lima,Ciência da Computação,5.0,4.4,5.0,intermediaria,2.0,20.0,1
151,Gabriela Duarte,Ciência da Computação,3.0,5.0,8.0,intermediaria,0.0,20.0,0
152,Olivia Assis,Administração,4.0,6.4,2.0,estavel,1.0,25.0,0
153,Rafael Duarte,Administração,4.0,6.4,7.0,estavel,1.0,,0
154,Luana Amaral,Engenharia Civil,6.0,5.7,5.0,intermediaria,1.0,24.0,0
155,Hugo Santos,Direito,1.0,6.9,1.0,intermediaria,1.0,27.0,0
156,Sônia Mendes,Medicina,6.0,6.8,5.0,estavel,0.0,34.0,0
157,Ulisses Cruz,Ciência da Computação,2.0,6.1,1.0,estavel,0.0,28.0,0
158,Gabriela Costa,Direito,7.0,7.1,1.0,estavel,0.0,25.0,0
159,Adriana Dias,Direito,4.0,8.1,0.0,intermediaria,2.0,25.0,0
160,Priscila Andrade,Ciência da Computação,5.0,4.9,4.0,intermediaria,0.0,23.0,0
161,Wanessa Cruz,Direito,4.0,5.3,22.0,intermediaria,2.0,23.0,1
162,Fernanda Nunes,Direito,1.0,7.4,4.0,estavel,2.0,27.0,0
163,Carla Martins,Direito,3.0,6.1,0.0,dificuldade,0.0,21.0,0
164,Nathan Carvalho,Ciência da Computação,5.0,4.3,38.0,intermediaria,2.0,19.0,1
165,Bruno Moreira,Ciência da Computação,5.0,3.8,21.0,intermediaria,3.0,27.0,1
166,Gustavo Pinto,Ciência da Computação,8.0,6.9,5.0,intermediaria,0.0,26.0,0
167,Samuel Ribeiro,Engenharia Civil,5.0,7.3,1.0,intermediaria,2.0,21.0,0
168,Patricia Duarte,Direito,4.0,3.0,24.0,intermediaria,3.0,28.0,1
169,Adriana Souza,Medicina,8.0,6.2,13.0,estavel,2.0,26.0,0
170,Adriana Castro,Medicina,1.0,5.2,3.0,estavel,4.0,24.0,0
171,Beatriz Gomes,Administração,7.0,,5.0,intermediaria,2.0,24.0,0
172,Bernardo Matos,Medicina,7.0,6.0,5.0,intermediaria,3.0,20.0,0
173,Lucas Melo,Ciência da Computação,7.0,6.4,4.0,intermediaria,1.0,18.0,0
174,Isabela Campos,Ciência da Computação,4.0,5.3,0.0,intermediaria,2.0,19.0,0
175,Adriana Lopes,Ciência da Computação,8.0,4.1,32.0,dificuldade,1.0,25.0,1
176,Juliana Teixeira,Administração,7.0,4.4,32.0,dificuldade,0.0,27.0,1
177,Samuel Gonçalves,Engenharia Civil,6.0,7.2,3.0,dificuldade,0.0,27.0,0
178,Marina Moreira,Direito,7.0,4.2,23.0,intermediaria,3.0,18.0,1
179,Diego Dias,Engenharia Civil,7.0,4.1,30.0,dificuldade,0.0,21.0,1
180,Alexandre Neto,Engenharia Civil,5.0,6.4,,estavel,0.0,17.0,0
181,Tiago Gonçalves,Engenharia Civil,8.0,7.8,10.0,estavel,1.0,21.0,0
182,Joana Santos,Ciência da Computação,3.0,5.4,4.0,intermediaria,0.0,22.0,0
183,José Correia,Ciência da Computação,6.0,6.2,5.0,estavel,2.0,24.0,0
184,Leonardo Cardoso,Medicina,7.0,8.2,3.0,estavel,1.0,27.0,0
185,Elias Brito,Engenharia Civil,4.0,,40.0,estavel,5.0,19.0,1
186,Thiago Nascimento,Ciência da Computação,5.0,6.8,6.0,estavel,1.0,29.0,0
187,Nathan Amaral,Medicina,4.0,5.7,1.0,intermediaria,3.0,34.0,0
188,Fernanda Azevedo,Engenharia Civil,1.0,6.7,12.0,intermediaria,2.0,20.0,0
189,Hana Matos,Administração,8.0,4.0,15.0,intermediaria,1.0,30.0,1
190,Rodrigo Oliveira,Administração,5.0,7.0,12.0,estavel,0.0,21.0,0
191,Guilherme Magalhães,Engenharia Civil,4.0,4.9,11.0,intermediaria,1.0,20.0,1
192,Caio Alves,Administração,7.0,5.6,1.0,intermediaria,1.0,18.0,0
193,Gustavo Xavier,Medicina,6.0,6.2,3.0,intermediaria,0.0,18.0,0
194,Simone Nascimento,Direito,5.0,5.9,4.0,estavel,0.0,24.0,0
195,Débora Leal,Medicina,8.0,5.6,11.0,intermediaria,2.0,,1
196,Isabella Guimarães,Direito,6.0,5.9,1.0,intermediaria,0.0,19.0,0
197,Renata Neto,Engenharia Civil,7.0,5.9,1.0,intermediaria,2.0,19.0,0
198,Eloisa Monteiro,Medicina,3.0,5.1,10.0,intermediaria,1.0,25.0,0
199,Valentina Rocha,Ciência da Computação,4.0,4.6,20.0,estavel,1.0,27.0,1
200,Vera Alves,Administração,4.0,4.3,15.0,dificuldade,1.0,19.0,1
201,Pedro Torres,Direito,5.0,8.0,3.0,intermediaria,0.0,23.0,0
202,Bernardo Braga,Direito,8.0,5.9,0.0,intermediaria,0.0,22.0,0
203,Marina Campos,Direito,7.0,2.8,17.0,dificuldade,0.0,22.0,1
204,Adriana Lopes,Direito,6.0,2.6,,intermediaria,0.0,22.0,1
205,Isabela Assis,Direito,6.0,5.8,9.0,intermediaria,0.0,21.0,0
206,Renata Guimarães,Engenharia Civil,3.0,4.6,9.0,intermediaria,3.0,,1
207,Camila Monteiro,Engenharia Civil,5.0,8.0,6.0,estavel,0.0,18.0,0
208,Tiago Barbosa,Engenharia Civil,8.0,8.6,,dificuldade,0.0,22.0,0
209,Felipe Pires,Administração,2.0,7.5,5.0,intermediaria,1.0,22.0,0
210,Wagner Martins,Direito,1.0,7.4,4.0,intermediaria,1.0,21.0,0
211,Débora Machado,Direito,8.0,6.5,0.0,estavel,0.0,18.0,0
212,Vera Assis,Ciência da Computação,4.0,4.5,19.0,intermediaria,,26.0,1
213,Luana Leite,Medicina,4.0,3.2,20.0,estavel,4.0,20.0,1
214,Hana Neto,Administração,7.0,5.3,17.0,dificuldade,0.0,18.0,1
215,Fernanda Lima,Direito,8.0,7.3,3.0,intermediaria,2.0,23.0,0
216,Adriana Teixeira,Administração,4.0,6.8,0.0,dificuldade,2.0,31.0,0
217,Ursula Lima,Medicina,5.0,8.0,5.0,intermediaria,0.0,27.0,0
218,Natalia Carvalho,Engenharia Civil,3.0,6.3,2.0,intermediaria,2.0,27.0,0
219,Vera Dias,Engenharia Civil,1.0,4.8,1.0,estavel,3.0,32.0,1
220,Kevin Torres,Administração,3.0,3.2,28.0,estavel,2.0,28.0,1
221,Carlos Silva,Direito,2.0,6.9,13.0,intermediaria,1.0,27.0,0
222,Tatiana Andrade,Medicina,8.0,3.0,8.0,estavel,3.0,24.0,1
223,Camila Pires,Medicina,4.0,3.7,3.0,dificuldade,0.0,25.0,1
224,Kevin Pinto,Medicina,8.0,4.9,26.0,intermediaria,5.0,28.0,1
225,Caio Araújo,Engenharia Civil,5.0,5.9,3.0,dificuldade,1.0,23.0,0
226,Nathan Ferreira,Medicina,5.0,6.6,2.0,estavel,0.0,21.0,0
227,Queila Melo,Engenharia Civil,8.0,3.5,12.0,intermediaria,3.0,20.0,1
228,Kevin Vieira,Direito,7.0,8.2,0.0,intermediaria,0.0,22.0,0
229,Vanessa Teixeira,Ciência da Computação,5.0,6.7,5.0,estavel,1.0,24.0,0
230,Aline Correia,Direito,4.0,7.9,9.0,intermediaria,0.0,18.0,0
231,Camila Pereira,Direito,7.0,3.1,8.0,dificuldade,6.0,26.0,1
232,Marcelo Pinto,Engenharia Civil,1.0,6.9,1.0,estavel,0.0,,0
233,Vera Cavalcanti,Ciência da Computação,8.0,7.3,3.0,estavel,0.0,28.0,0
234,Juliana Siqueira,Administração,2.0,6.3,2.0,estavel,1.0,26.0,0
235,Leonardo Batista,Direito,4.0,7.4,,estavel,0.0,18.0,0
236,Joana Teixeira,Ciência da Computação,4.0,7.7,2.0,intermediaria,1.0,22.0,0
237,Matheus Castro,Engenharia Civil,6.0,4.4,5.0,intermediaria,0.0,23.0,0
238,Giovanna Duarte,Administração,6.0,,7.0,estavel,2.0,37.0,0
239,Rodrigo Lopes,Medicina,8.0,6.3,2.0,estavel,1.0,25.0,0
240,Priscila Leal,Ciência da Computação,4.0,,16.0,intermediaria,4.0,22.0,1
241,Hana Brito,Medicina,5.0,4.8,26.0,dificuldade,4.0,21.0,1
242,Nathan Monteiro,Medicina,1.0,6.5,,estavel,0.0,22.0,0
243,Samuel Melo,Ciência da Computação,3.0,6.1,,estavel,1.0,23.0,0
244,Leonardo Araújo,Engenharia Civil,3.0,5.9,1.0,intermediaria,0.0,21.0,0
245,Mariana Freitas,Engenharia Civil,1.0,6.3,4.0,intermediaria,2.0,27.0,0
246,Eloisa Coelho,Medicina,5.0,4.7,28.0,dificuldade,2.0,23.0,1
247,Roberto Azevedo,Medicina,8.0,4.6,1.0,estavel,2.0,19.0,0
248,Isabela Castro,Ciência da Computação,7.0,5.7,0.0,estavel,0.0,18.0,0
249,Guilherme Melo,Ciência da Computação,5.0,2.2,40.0,dificuldade,0.0,25.0,1
250,Fábio Silva,Medicina,4.0,4.2,2.0,intermediaria,3.0,22.0,1
251,Flávia Cruz,Engenharia Civil,8.0,5.9,1.0,dificuldade,3.0,19.0,0
252,Henrique Moreira,Engenharia Civil,8.0,3.5,12.0,intermediaria,3.0,24.0,1
253,Olivia Freitas,Ciência da Computação,2.0,6.6,9.0,estavel,2.0,24.0,0
254,Daniela Araújo,Ciência da Computação,5.0,7.4,2.0,estavel,0.0,21.0,0
255,Sabrina Nunes,Medicina,5.0,7.3,8.0,intermediaria,0.0,18.0,0
256,Carla Azevedo,Ciência da Computação,4.0,6.3,14.0,intermediaria,0.0,31.0,0
257,Nicolas Campos,Ciência da Computação,8.0,6.0,4.0,estavel,0.0,23.0,0
258,João Borges,Ciência da Computação,7.0,7.5,4.0,dificuldade,0.0,23.0,0
259,Carla Assis,Ciência da Computação,8.0,5.7,14.0,intermediaria,1.0,20.0,1
260,Bernardo Correia,Administração,7.0,3.5,13.0,intermediaria,0.0,25.0,0
261,Yasmin Machado,Engenharia Civil,8.0,6.0,7.0,intermediaria,2.0,25.0,0
262,Caio Almeida,Engenharia Civil,7.0,6.6,2.0,intermediaria,3.0,21.0,0
263,Aline Fonseca,Administração,1.0,,0.0,dificuldade,0.0,22.0,0
264,Tatiana Castro,Direito,7.0,4.9,2.0,estavel,0.0,27.0,0
265,Tiago Torres,Direito,3.0,5.2,2.0,intermediaria,4.0,22.0,1
266,Nicolas Vieira,Administração,4.0,4.6,35.0,intermediaria,0.0,21.0,1
267,Matheus Nogueira,Medicina,8.0,3.3,20.0,intermediaria,0.0,34.0,1
268,Marina Xavier,Engenharia Civil,5.0,3.3,13.0,dificuldade,1.0,22.0,1
269,Paulo Cardoso,Administração,7.0,5.0,11.0,dificuldade,2.0,24.0,1
270,Paulo Guimarães,Ciência da Computação,8.0,6.2,4.0,intermediaria,0.0,22.0,0
271,Hugo Batista,Direito,5.0,2.7,27.0,intermediaria,3.0,18.0,1
272,Vera Torres,Direito,8.0,4.5,20.0,intermediaria,1.0,27.0,1
273,Ursula Cruz,Administração,5.0,5.6,3.0,estavel,0.0,26.0,0
274,Danilo Lima,Administração,4.0,7.0,0.0,estavel,1.0,21.0,0
275,Sabrina Machado,Ciência da Computação,7.0,5.9,,estavel,,18.0,0
276,Marina Batista,Ciência da Computação,6.0,7.1,3.0,estavel,,24.0,0
277,Diego Magalhães,Engenharia Civil,5.0,4.3,5.0,dificuldade,0.0,26.0,0
278,Wagner Gomes,Direito,8.0,6.2,8.0,estavel,0.0,24.0,0
279,Sônia Correia,Direito,3.0,6.1,3.0,intermediaria,0.0,19.0,0
280,Bernardo Nogueira,Ciência da Computação,7.0,3.5,4.0,dificuldade,2.0,24.0,1
281,Camila Fonseca,Administração,4.0,4.6,8.0,dificuldade,0.0,36.0,1
282,Isabela Cruz,Administração,7.0,6.6,3.0,intermediaria,0.0,29.0,0
283,Carlos Machado,Administração,6.0,7.0,1.0,estavel,0.0,19.0,0
284,Ursula Andrade,Ciência da Computação,3.0,5.6,32.0,estavel,5.0,19.0,1
285,Carla Alves,Medicina,4.0,6.4,3.0,intermediaria,1.0,19.0,0
286,Nara Vieira,Ciência da Computação,2.0,5.0,3.0,intermediaria,0.0,18.0,0
287,Marina Ribeiro,Medicina,3.0,5.7,3.0,intermediaria,1.0,23.0,0
288,Samuel Barros,Direito,2.0,7.3,1.0,intermediaria,0.0,23.0,0
289,Patricia Nunes,Ciência da Computação,7.0,6.7,1.0,intermediaria,,20.0,0
290,Wagner Leite,Ciência da Computação,2.0,4.0,18.0,intermediaria,0.0,21.0,1
291,Larissa Moura,Direito,5.0,5.8,16.0,dificuldade,2.0,22.0,1
292,Sônia Costa,Administração,7.0,6.5,,estavel,0.0,28.0,0
293,Leonardo Torres,Ciência da Computação,6.0,5.0,13.0,intermediaria,0.0,18.0,0
294,Hugo Neto,Medicina,3.0,5.4,26.0,intermediaria,3.0,23.0,1
295,Natalia Pereira,Medicina,7.0,6.5,3.0,intermediaria,1.0,29.0,0
296,Joana Braga,Administração,3.0,5.0,40.0,intermediaria,0.0,26.0,1
297,Priscila Cardoso,Direito,8.0,6.8,10.0,estavel,0.0,22.0,0
298,Hugo Braga,Administração,6.0,7.2,5.0,intermediaria,1.0,22.0,0
299,Tatiana Borges,Ciência da Computação,6.0,5.7,3.0,intermediaria,0.0,23.0,0
300,Lucas Leite,Engenharia Civil,8.0,8.9,2.0,estavel,0.0,,0
301,Karla Machado,Medicina,,6.9,3.0,intermediaria,1.0,34.0,0
302,Danilo Borges,Administração,5.0,4.2,40.0,intermediaria,2.0,25.0,1
303,Queila Barbosa,Engenharia Civil,8.0,7.4,2.0,intermediaria,0.0,17.0,0
304,Paulo Azevedo,Ciência da Computação,7.0,3.2,7.0,dificuldade,2.0,19.0,1
305,Guilherme Andrade,Ciência da Computação,7.0,2.7,8.0,intermediaria,1.0,21.0,1
306,Camila Amaral,Engenharia Civil,6.0,5.2,4.0,intermediaria,1.0,20.0,0
307,Caio Batista,Administração,1.0,4.6,8.0,estavel,0.0,22.0,1
308,Igor Leal,Administração,4.0,4.9,19.0,dificuldade,2.0,34.0,1
309,Matheus Machado,Medicina,7.0,6.2,5.0,estavel,0.0,21.0,0
310,Henrique Leite,Direito,3.0,6.8,8.0,intermediaria,0.0,28.0,0
311,Simone Carvalho,Administração,8.0,7.0,3.0,estavel,1.0,21.0,0
312,Ximena Nunes,Engenharia Civil,5.0,7.9,2.0,intermediaria,1.0,30.0,0
313,Felipe Carvalho,Direito,6.0,6.0,4.0,intermediaria,0.0,22.0,0
314,Marcelo Fonseca,Administração,6.0,6.3,5.0,estavel,0.0,27.0,0
315,Matheus Leal,Engenharia Civil,4.0,,1.0,estavel,0.0,22.0,0
316,Simone Nascimento,Ciência da Computação,1.0,5.8,1.0,estavel,2.0,26.0,0
317,Leonardo Vieira,Engenharia Civil,3.0,5.8,4.0,dificuldade,0.0,24.0,0
